GeneID,p_val,avg_logFC,pct.1,pct.2,p_val_adj
CTNNB1,2.47E-40,-0.458120951,0.275,0.402,8.17E-36
MT-ND4L,3.99E-40,-0.279637603,0.216,0.338,1.32E-35
SMC4,4.03E-40,0.299388588,0.186,0.091,1.33E-35
NDUFB5,4.86E-40,-0.28669862,0.404,0.516,1.61E-35
HERPUD1,5.64E-40,-0.344687181,0.269,0.39,1.86E-35
GADD45A,1.55E-39,-0.256712033,0.079,0.169,5.14E-35
DEK,4.86E-39,0.26905706,0.457,0.337,1.61E-34
APLP2,1.39E-38,-0.293401293,0.36,0.475,4.61E-34
SELENOF,3.19E-38,-0.272580826,0.37,0.483,1.05E-33
MICOS10,1.07E-37,-0.307451034,0.39,0.498,3.53E-33
RPS19BP1,1.08E-37,-0.26318029,0.343,0.462,3.58E-33
CD59,9.35E-37,-0.285767389,0.228,0.34,3.09E-32
BCAT1,1.22E-36,-0.383480035,0.051,0.123,4.02E-32
SMDT1,2.64E-36,-0.260337314,0.465,0.571,8.72E-32
P4HB,3.89E-36,-0.278081825,0.382,0.486,1.29E-31
LGMN,5.74E-36,-0.255197617,0.13,0.23,1.90E-31
GK5,1.66E-35,-0.250605696,0.043,0.112,5.50E-31
SCOC,5.88E-35,-0.311014671,0.46,0.557,1.94E-30
NDUFB7,7.87E-35,-0.251974705,0.607,0.676,2.60E-30
TTYH1,9.44E-35,0.348656994,0.338,0.229,3.12E-30
CCNG1,3.20E-34,-0.252009901,0.348,0.46,1.06E-29
DAD1,3.95E-34,-0.271505618,0.537,0.616,1.31E-29
GIHCG,5.22E-34,-0.258100033,0.156,0.258,1.72E-29
GLUL,6.43E-34,-0.303687209,0.305,0.414,2.13E-29
DARS,9.62E-34,-0.256764429,0.255,0.371,3.18E-29
NCKAP5,3.29E-33,-0.334660672,0.15,0.24,1.09E-28
BNIP3,6.95E-33,-0.348903971,0.481,0.584,2.30E-28
GCSH,1.05E-32,-0.253978061,0.315,0.426,3.48E-28
TCEAL9,1.21E-32,-0.280322761,0.528,0.609,4.01E-28
MRPL33,6.72E-32,-0.255494268,0.399,0.502,2.22E-27
TCEAL8,4.26E-30,-0.256314786,0.458,0.545,1.41E-25
PLK2,7.52E-30,0.290529967,0.271,0.177,2.48E-25
DNAJB9,4.63E-29,-0.347962866,0.286,0.385,1.53E-24
PDIA3,8.28E-28,-0.264795184,0.462,0.539,2.74E-23
HSP90B1,1.41E-27,-0.25654381,0.502,0.576,4.68E-23
INSM1,1.58E-27,-0.306052401,0.105,0.178,5.22E-23
PEA15,9.08E-27,0.314673423,0.326,0.234,3.00E-22
TPM1,7.71E-26,-0.438200312,0.322,0.398,2.55E-21
NHLH1,9.24E-26,0.267709682,0.109,0.05,3.05E-21
NDRG1,2.82E-25,-0.287072051,0.119,0.192,9.33E-21
MRPS6,7.06E-25,-0.28649622,0.537,0.596,2.33E-20
CHGA,5.73E-24,-0.280811401,0.113,0.181,1.90E-19
PSAT1,6.07E-23,-0.330312274,0.224,0.307,2.01E-18
FBLN1,1.52E-22,-0.384257727,0.228,0.308,5.01E-18
PPP1R15A,2.63E-22,-0.252764663,0.22,0.305,8.68E-18
CETN2,2.26E-21,-0.300541454,0.383,0.453,7.47E-17
4-Sep,2.80E-21,-0.253250463,0.083,0.143,9.26E-17
IGFBP2,3.65E-21,-0.306019977,0.442,0.5,1.20E-16
CASP3,5.55E-21,-0.416489074,0.166,0.235,1.83E-16
PLPPR4,2.13E-20,-0.251679371,0.077,0.133,7.04E-16
GPM6B,1.18E-19,-0.271346983,0.607,0.485,3.89E-15
IGFBP5,1.51E-18,-0.293476408,0.338,0.419,4.98E-14
WRB,1.01E-17,-0.252509911,0.513,0.569,3.35E-13
SOX2,7.61E-15,0.442167174,0.24,0.19,2.51E-10
SFRP2,7.77E-14,-0.449542449,0.069,0.112,2.57E-09
SYT4,1.57E-13,-0.296323508,0.139,0.188,5.18E-09
JUN,8.64E-10,-0.256822691,0.55,0.575,2.86E-05
PCLAF,1.13E-07,0.284259121,0.118,0.087,0.003738673
CHGB,0.00083887,-0.260286311,0.16,0.175,1
